j k i lambda pitch r c a a_prime CL CD Cn Ct V_rel dT dQ dP
1 1 1 3.000 -15.00 1.300 2.400 0.333333 5.323407 0.000000 0.333620 0.264252 -0.203650 5.050029 8.895686 -8.912274 -3.342103
1 1 2 3.000 -15.00 2.325 2.358 0.333333 2.782380 0.000000 0.333991 0.257703 -0.212460 5.184133 8.982093 -17.217094 -6.456410
1 1 3 3.000 -15.00 3.450 2.259 0.333333 1.742671 0.000000 0.333472 0.249464 -0.221295 5.347023 8.861561 -27.120238 -10.170089
1 1 4 3.000 -15.00 5.450 2.338 0.333333 0.971492 0.000000 0.337570 0.237827 -0.239565 5.677566 9.858094 -54.119316 -20.294744
1 1 5 3.000 -15.00 7.450 2.339 0.333333 0.629150 0.000000 0.340415 0.224721 -0.255701 6.059338 10.614177 -89.976920 -33.741345
1 1 6 3.000 -15.00 9.300 2.848 0.333333 0.452760 0.000000 0.351714 0.217942 -0.276051 6.455185 14.225286 -167.568344 -62.838129
1 1 7 3.000 -15.00 11.625 3.708 0.333333 0.319122 0.756117 0.426885 0.864483 0.081320 7.004912 86.509553 94.601889 35.475708
1 1 8 3.000 -15.00 12.555 3.672 0.333333 0.281605 0.755760 0.426426 0.865534 0.062160 7.239379 91.611978 82.603647 30.976368
1 1 9 3.000 -15.00 13.950 3.418 0.333333 0.236433 0.752207 0.421848 0.861634 0.036854 7.605012 93.682268 55.898360 20.961885
1 1 10 3.000 -15.00 15.113 3.196 0.333333 0.206451 0.809506 0.414010 0.907778 0.051413 7.921500 100.129929 85.704647 32.139243
1 1 11 3.000 -15.00 16.275 3.002 0.333333 0.181745 1.235409 0.375311 1.262406 0.270970 8.247290 141.773482 495.265379 185.724517
1 1 12 3.000 -15.00 17.438 2.833 0.333333 0.161122 1.577774 0.342630 1.555612 0.432245 8.582055 178.522608 865.004666 324.376750
1 1 13 3.000 -15.00 18.600 2.687 0.333333 0.143768 1.582740 0.334904 1.564964 0.410019 8.924407 184.201652 897.646953 336.617607
1 1 14 3.000 -15.00 19.763 2.561 0.333333 0.129010 1.585550 0.327362 1.571686 0.388507 9.274191 190.410213 930.199165 348.824687
1 1 15 3.000 -15.00 20.925 2.452 0.333333 0.116381 1.585245 0.321380 1.575517 0.366107 9.630133 197.047446 958.121786 359.295670
1 1 16 3.000 -15.00 22.088 2.358 0.333333 0.105479 1.584284 0.315010 1.577907 0.345537 9.992236 204.321084 988.286266 370.607350
1 1 17 3.000 -15.00 23.250 2.276 0.333333 0.096020 0.793973 0.396240 0.885395 -0.058937 10.359331 118.942090 -184.080819 -69.030307
1 1 18 3.000 -15.00 24.413 2.203 0.333333 0.087752 0.899678 0.381389 0.977002 -0.018566 10.731559 136.332185 -63.248417 -23.718156
1 1 19 3.000 -15.00 25.575 2.138 0.333333 0.080496 1.047582 0.361788 1.107583 0.039725 11.107839 160.696314 147.403148 55.276181
1 1 20 3.000 -15.00 26.738 2.078 0.333333 0.074085 1.157932 0.347163 1.206353 0.077723 11.488425 181.971575 313.480417 117.555157
1 1 21 3.000 -15.00 27.900 2.018 0.333333 0.068404 1.282545 0.330649 1.318961 0.120796 11.872308 206.341367 527.243652 197.716370
1 1 22 3.000 -15.00 29.063 1.958 0.333333 0.063339 1.396966 0.315485 1.423453 0.157566 12.259833 230.402745 741.219023 277.957134
1 1 23 3.000 -15.00 30.225 1.898 0.333333 0.058813 1.501692 0.301606 1.520011 0.188710 12.650047 253.915839 952.807429 357.302786
1 1 24 3.000 -15.00 31.388 1.838 0.333333 0.054746 1.561765 0.293020 1.576373 0.200045 13.043367 271.110703 1079.886183 404.957319
1 1 25 3.000 -15.00 32.550 1.778 0.333333 0.051084 1.563957 0.287553 1.578662 0.190981 13.438889 278.811273 1097.899618 411.712357
1 1 26 3.000 -15.00 33.713 1.718 0.333333 0.047771 1.565962 0.282552 1.580784 0.182197 13.837084 285.987817 1111.252811 416.719804
1 1 27 3.000 -15.00 34.875 1.658 0.333333 0.044769 1.513529 0.295496 1.535587 0.141642 14.237084 283.833499 913.053094 342.394910
1 1 28 3.000 -15.00 36.038 1.598 0.333333 0.042036 1.517905 0.290420 1.539497 0.135376 14.639407 289.978197 918.942168 344.603313
1 1 29 3.000 -15.00 37.200 1.538 0.333333 0.039546 1.521876 0.285813 1.543087 0.129144 15.043210 295.386385 919.637895 344.864211
1 1 30 3.000 -15.00 38.363 1.478 0.333333 0.037266 1.523804 0.283577 1.545264 0.120630 15.449051 299.808223 897.859372 336.697265
1 1 31 3.000 -15.00 39.525 1.418 0.333333 0.035178 1.527062 0.279797 1.548256 0.114482 15.856107 303.581216 887.242012 332.715754
1 1 32 3.000 -15.00 40.688 1.358 0.333333 0.033257 1.530004 0.276383 1.550985 0.108375 16.264964 306.461854 871.292436 326.734663
1 1 33 3.000 -15.00 41.850 1.298 0.333333 0.031490 1.530962 0.275272 1.552294 0.100017 16.674818 308.129739 830.862558 311.573459
1 1 34 3.000 -15.00 43.013 1.238 0.333333 0.029857 1.529966 0.276428 1.552163 0.089428 17.086279 308.543025 764.631136 286.736676
1 1 35 3.000 -15.00 44.175 1.178 0.333333 0.028349 1.146620 0.313367 1.187893 -0.042963 17.498554 235.662096 -376.518361 -141.194385
1 1 36 3.000 -15.00 45.570 1.106 0.333333 0.026683 1.148228 0.311765 1.188802 -0.048732 17.994929 234.168008 -437.431405 -164.036777
1 1 37 3.000 -15.00 46.500 1.067 0.333333 0.025652 1.151323 0.308683 1.190938 -0.049951 18.326656 234.737667 -457.818593 -171.681972
1 1 38 3.000 -15.00 47.070 1.028 0.333333 0.025049 1.149978 0.310022 1.189788 -0.054475 18.530276 230.987895 -497.807100 -186.677663
1 1 39 3.000 -15.00 47.256 0.995 0.333333 0.024857 1.169166 0.290910 1.204373 -0.032624 18.596769 227.940600 -291.776377 -109.416141
1 1 40 3.000 -15.00 47.442 0.905 0.333333 0.024667 1.188347 0.271805 1.218987 -0.010797 18.663285 211.342393 -88.809619 -33.303607
1 1 41 3.000 -15.00 47.628 0.748 0.333333 0.024479 1.207521 0.252707 1.233631 0.011005 18.729824 178.039793 75.643317 28.366244
1 1 42 3.000 -15.00 47.814 0.501 0.333333 0.024294 1.226688 0.233617 1.248305 0.032782 18.796386 121.526138 152.594970 57.223114
1 1 43 3.000 -15.00 48.000 0.070 0.333333 0.024110 1.245847 0.214533 1.263007 0.054535 18.862971 17.301611 35.859085 13.447157
1 2 1 3.000 -14.00 1.300 2.400 0.333333 5.323407 0.000000 0.333620 0.264252 -0.203650 5.050029 8.895686 -8.912274 -3.342103
1 2 2 3.000 -14.00 2.325 2.358 0.333333 2.782380 0.000000 0.333991 0.257703 -0.212460 5.184133 8.982093 -17.217094 -6.456410
1 2 3 3.000 -14.00 3.450 2.259 0.333333 1.742671 0.000000 0.333472 0.249464 -0.221295 5.347023 8.861561 -27.120238 -10.170089
1 2 4 3.000 -14.00 5.450 2.338 0.333333 0.971492 0.000000 0.337570 0.237827 -0.239565 5.677566 9.858094 -54.119316 -20.294744
1 2 5 3.000 -14.00 7.450 2.339 0.333333 0.629150 0.000000 0.340415 0.224721 -0.255701 6.059338 10.614177 -89.976920 -33.741345
1 2 6 3.000 -14.00 9.300 2.848 0.333333 0.452760 0.000000 0.351714 0.217942 -0.276051 6.455185 14.225286 -167.568344 -62.838129
1 2 7 3.000 -14.00 11.625 3.708 0.333333 0.319122 0.751717 0.421215 0.857633 0.083462 7.004912 85.824085 97.093909 36.410216
1 2 8 3.000 -14.00 12.555 3.672 0.333333 0.281605 0.751360 0.420756 0.858734 0.064455 7.239379 90.892212 85.653080 32.119905
1 2 9 3.000 -14.00 13.950 3.418 0.333333 0.236433 1.218459 0.376851 1.234516 0.320358 7.605012 134.224327 485.897451 182.211544
1 2 10 3.000 -14.00 15.113 3.196 0.333333 0.206451 1.577345 0.343297 1.534828 0.500173 7.921500 169.294946 833.786537 312.669951
1 2 11 3.000 -14.00 16.275 3.002 0.333333 0.181745 1.581983 0.336082 1.546462 0.473367 8.247290 173.674135 865.197370 324.449014
1 2 12 3.000 -14.00 17.438 2.833 0.333333 0.161122 1.585628 0.328896 1.556160 0.448057 8.582055 178.585520 896.647546 336.242830
1 2 13 3.000 -14.00 18.600 2.687 0.333333 0.143768 1.585297 0.322400 1.561646 0.422342 8.924407 183.811056 924.625608 346.734603
1 2 14 3.000 -14.00 19.763 2.561 0.333333 0.129010 1.584426 0.315624 1.565610 0.398612 9.274191 189.674015 954.393042 357.897391
1 2 15 3.000 -14.00 20.925 2.452 0.333333 0.116381 1.583054 0.309709 1.568676 0.375813 9.630133 196.191808 983.525008 368.821878
1 2 16 3.000 -14.00 22.088 2.358 0.333333 0.105479 1.576352 0.304776 1.566542 0.351740 9.992236 202.849464 1006.028107 377.260540
1 2 17 3.000 -14.00 23.250 2.276 0.333333 0.096020 1.020202 0.365416 1.082178 0.056849 10.359331 145.377466 177.559484 66.584807
1 2 18 3.000 -14.00 24.413 2.203 0.333333 0.087752 1.155778 0.347449 1.201997 0.108385 10.731559 167.728228 369.225737 138.459651
1 2 19 3.000 -14.00 25.575 2.138 0.333333 0.080496 1.303682 0.327848 1.334280 0.163611 11.107839 193.587126 607.096302 227.661113
