j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,1,1,3,-5,1.3,2.4,0.333333,5.323407,0,0.355805,0.281824,-0.217192,8.416716,26.353407,-26.402549,-16.501593
1,1,2,3,-5,2.325,2.358,0.333333,2.78238,0,0.356176,0.27482,-0.226573,8.640222,26.607543,-51.001986,-31.876241
1,1,3,3,-5,3.45,2.259,0.333333,1.742671,0,0.355657,0.26606,-0.236017,8.911705,26.253039,-80.345735,-50.216084
1,1,4,3,-5,5.45,2.338,0.333333,0.971492,0,0.359755,0.253457,-0.25531,9.46261,29.183226,-160.211122,-100.131951
1,1,5,3,-5,7.45,2.339,0.333333,0.62915,0,0.3626,0.239366,-0.272365,10.098897,31.405291,-266.224248,-166.390155
1,1,6,3,-5,9.3,2.848,0.333333,0.45276,0,0.373899,0.231689,-0.293463,10.758642,42.007131,-494.827674,-309.267296
1,1,7,3,-5,11.625,3.708,0.04995,0.026594,0.787104,0.466817,0.853231,0.330829,12.078657,253.867001,1144.289289,715.180806
1,1,8,3,-5,12.555,3.672,0.048833,0.021778,0.783613,0.462318,0.858533,0.30118,12.440112,268.330941,1181.834372,738.646482
1,1,9,3,-5,13.95,3.418,0.044725,0.015561,0.77614,0.452688,0.859617,0.261491,13.025195,274.162555,1163.415684,727.134803
1,1,10,3,-5,15.113,3.196,0.04158,0.011787,0.770899,0.445934,0.860103,0.231009,13.534858,276.966578,1124.232903,702.645564
1,1,11,3,-5,16.275,3.002,0.039004,0.009016,0.765771,0.439327,0.859261,0.202695,14.060314,280.471275,1076.782091,672.988807
1,1,12,3,-5,17.438,2.833,0.036889,0.006944,0.760728,0.432828,0.857267,0.176465,14.601246,284.77733,1022.221622,638.888514
1,1,13,3,-5,18.6,2.687,0.035151,0.005387,0.755759,0.426425,0.854294,0.152289,15.155656,289.992777,961.529225,600.955766
1,1,14,3,-5,19.763,2.561,0.060003,0.022021,1.577852,0.342509,1.470101,0.667631,15.739176,512.9598,4603.900087,2877.437555
1,1,15,3,-5,20.925,2.452,0.058877,0.019522,1.58565,0.32931,1.485352,0.645337,16.320286,533.54117,4850.548154,3031.592596
1,1,16,3,-5,22.088,2.358,0.057851,0.017332,1.58498,0.318011,1.493404,0.618899,16.911715,553.935316,5070.585014,3169.115634
1,1,17,3,-5,23.25,2.276,0.032898,0.002736,0.799816,0.401833,0.888606,0.107495,17.488364,340.206308,956.850832,598.03177
1,1,18,3,-5,24.413,2.203,0.032238,0.002173,0.793398,0.39569,0.882021,0.089941,18.096393,349.977551,871.244746,544.527966
1,1,19,3,-5,25.575,2.138,0.042267,0.006423,1.134524,0.350266,1.154022,0.279401,18.722125,475.65774,2945.260645,1840.787903
1,1,20,3,-5,26.738,2.078,0.050952,0.009281,1.416573,0.312887,1.387986,0.421984,19.353109,594.148341,4829.856974,3018.660609
1,1,21,3,-5,27.9,2.018,0.055392,0.010176,1.564043,0.287337,1.514156,0.485927,19.987864,671.409269,6011.625471,3757.265919
1,1,22,3,-5,29.063,1.958,0.0551,0.009411,1.566595,0.27612,1.519042,0.4722,20.626872,696.00427,6287.940665,3929.962916
