j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,1,1,3,-5,1.3,2.4,0.333333,5.323407,0,0.355805,0.051202,-0.03946,8.416716,4.78795,-4.796879,-2.998049
1,1,2,3,-5,2.325,2.358,0.333333,2.78238,0,0.356176,0.067226,-0.055424,8.640222,6.508716,-12.476066,-7.797541
1,1,3,3,-5,3.45,2.259,0.333333,1.742671,0,0.355657,0.079944,-0.070917,8.911705,7.888341,-24.141759,-15.088599
1,1,4,3,-5,5.45,2.338,0.333333,0.971492,0,0.359755,0.097305,-0.098016,9.46261,11.203768,-61.506846,-38.441779
1,1,5,3,-5,7.45,2.339,0.333333,0.62915,0,0.3626,0.109305,-0.124373,10.098897,14.340987,-121.569277,-75.980798
1,1,6,3,-5,9.3,2.848,0.333333,0.45276,0,0.373899,0.120016,-0.152015,10.758642,21.759838,-256.322438,-160.201524
1,1,7,3,-5,11.625,3.708,0.101827,0.049244,0.777476,0.45441,0.204457,0.071886,11.780825,57.8703,236.533705,147.833565
1,1,8,3,-5,12.555,3.672,0.095497,0.038903,0.775258,0.451551,0.223985,0.071713,12.176619,67.071445,269.607369,168.504605
1,1,9,3,-5,13.95,3.418,0.082762,0.026594,0.769665,0.444344,0.25123,0.070628,12.815852,77.571337,304.216952,190.135595
1,1,10,3,-5,15.113,3.196,0.073712,0.01948,0.765647,0.439166,0.273997,0.068568,13.361535,85.985931,325.202905,203.251816
1,1,11,3,-5,16.275,3.002,0.066489,0.014407,0.761457,0.433768,0.29635,0.065523,13.914528,94.735977,340.899054,213.061909
1,1,12,3,-5,17.438,2.833,0.060656,0.010743,0.757142,0.428207,0.318036,0.061615,14.477063,103.859651,350.873014,219.295634
1,1,13,3,-5,18.6,2.687,0.098239,0.038916,1.581678,0.336557,0.618371,0.284869,15.072525,207.61155,1778.936552,1111.835345
1,1,14,3,-5,19.763,2.561,0.092708,0.033039,1.585469,0.325763,0.65978,0.291048,15.656775,227.811677,1986.07159,1241.294744
1,1,15,3,-5,20.925,2.452,0.088129,0.028303,1.584667,0.316663,0.698087,0.294009,16.24829,248.546795,2190.40487,1369.003044
1,1,16,3,-5,22.088,2.358,0.084432,0.024549,1.582443,0.307076,0.733393,0.295329,16.848634,270.005636,2401.589001,1500.993126
1,1,17,3,-5,23.25,2.276,0.047171,0.003729,0.796978,0.399117,0.433492,0.049807,17.421912,164.705244,439.988639,274.9929
1,1,18,3,-5,24.413,2.203,0.052042,0.006121,0.948046,0.374979,0.513403,0.091591,18.042499,202.501814,881.95371,551.221068
1,1,19,3,-5,25.575,2.138,0.067676,0.012531,1.345292,0.322333,0.713087,0.210821,18.677973,292.531148,2211.872856,1382.420535
1,1,20,3,-5,26.738,2.078,0.075967,0.014797,1.562876,0.290248,0.840669,0.274192,19.312567,358.354798,3125.155072,1953.22192
1,1,21,3,-5,27.9,2.018,0.075021,0.013591,1.56774,0.278118,0.859693,0.272137,19.948596,379.709804,3353.521232,2095.95077
1,1,22,3,-5,29.063,1.958,0.073818,0.012342,1.561498,0.269871,0.868589,0.264356,20.58933,396.52807,3507.429211,2192.143257
1,1,23,3,-5,30.225,1.898,0.072785,0.011257,1.555082,0.262243,0.872094,0.255323,21.234586,410.496835,3632.479942,2270.299964
1,1,24,3,-5,31.388,1.838,0.071993,0.010296,1.54988,0.256251,0.871029,0.244872,21.8845,421.709943,3721.213454,2325.758409
1,1,25,3,-5,32.55,1.778,0.071314,0.009476,1.544157,0.24946,0.86358,0.23392,22.538748,428.999177,3782.438112,2364.02382
1,1,26,3,-5,33.713,1.718,0.070765,0.008762,1.538862,0.24308,0.850305,0.222084,23.197708,432.365189,3807.068097,2379.417561
1,1,27,3,-5,34.875,1.658,0.071389,0.008379,1.555541,0.233608,0.842093,0.21563,23.860647,437.191426,3904.233589,2440.145993
1,1,28,3,-5,36.038,1.598,0.071504,0.007876,1.555449,0.226922,0.818266,0.203179,24.526563,432.620879,3871.256784,2419.53549
1,1,29,3,-5,37.2,1.538,0.071832,0.007427,1.554466,0.22094,0.786849,0.189305,25.194665,422.500929,3781.299085,2363.311928
1,1,30,3,-5,38.363,1.478,0.072484,0.007008,1.552922,0.216955,0.747729,0.173464,25.865129,406.640427,3618.996468,2261.872792
1,1,31,3,-5,39.525,1.418,0.073515,0.006676,1.55098,0.211946,0.699946,0.157123,26.537841,384.445526,3411.010044,2131.881278
1,1,32,3,-5,40.688,1.358,0.075185,0.006422,1.549998,0.206996,0.643575,0.13986,27.212967,355.97021,3147.567299,1967.229562
1,1,33,3,-5,41.85,1.298,0.07783,0.006229,1.549662,0.203454,0.577862,0.121036,27.887971,320.845232,2812.428466,1757.767792
1,1,34,3,-5,43.013,1.238,0.081855,0.00611,1.549455,0.201268,0.501299,0.100617,28.563262,278.481204,2404.187773,1502.617358
